date,high,open,low,close,quantity,amount,ma7,ma20,ma60,ma120,ma453
2019-02-12,3667.6,3631.05,3582.34,3631.46,29479.59823,106766439.994365,3581.508571428571,3520.9395000000004,3642.3985000000002,4480.557916666668,
2019-02-13,3670.0,3631.51,3591.75,3609.4,25773.997648,93350740.9483057,3610.655714285714,3522.9285000000004,3649.0265,4454.309,
2019-02-14,3626.4,3608.34,3568.11,3590.56,21753.501261,78367545.5794593,3638.1071428571427,3524.192,3655.058,4428.05625,
2019-02-15,3653.23,3590.57,3573.45,3602.47,20777.872899,74938358.1835287,3630.0257142857145,3526.053,3656.6145,4402.918833333333,
2019-02-16,3648.2,3602.49,3597.91,3618.41,19565.992751,70894921.8076153,3623.344285714286,3529.4315,3656.038333333333,4378.664916666667,
2019-02-17,3700.11,3617.22,3604.4,3667.58,25690.227779,93426433.1322613,3621.5614285714287,3541.1030000000005,3656.1276666666668,4354.324750000001,
2019-02-18,3925.0,3667.62,3655.0,3898.6,64042.730492,242898012.769226,3659.782857142857,3565.4809999999998,3653.610666666667,4331.8955,
2019-02-19,3994.52,3897.35,3856.0,3907.79,50207.172667,197091641.0474,3699.2585714285715,3587.9615000000003,3654.762833333333,4309.6170833333335,
2019-02-20,3986.98,3907.35,3870.66,3969.74,36205.14085,142571564.56113,3750.735714285714,3614.7434999999996,3655.11,4288.085666666667,
2019-02-21,4016.48,3969.74,3901.03,3937.31,31103.884728,122714273.874177,3800.2714285714287,3638.5054999999993,3655.2366666666667,4266.184083333334,
2019-02-22,3988.0,3937.31,3926.65,3962.0,23943.16375,94739322.7455702,3851.632857142857,3661.3669999999997,3654.4698333333336,4244.8,
2019-02-23,4162.02,3962.0,3933.15,4117.76,33657.942883,135782959.418273,3922.968571428571,3694.3495000000003,3660.669333333333,4224.626083333334,
2019-02-24,4198.0,4118.0,3712.66,3743.56,62224.18689,244146803.51887,3933.8228571428567,3708.3665,3660.0996666666665,4201.609083333334,
2019-02-25,3872.66,3743.56,3740.0,3827.92,38102.966245,145285565.203171,3923.725714285714,3726.183,3664.4331666666667,4179.425666666667,
2019-02-26,3841.51,3828.44,3777.0,3809.23,28838.748036,109932596.106094,3909.645714285714,3746.3759999999993,3663.932666666667,4158.2984166666665,
2019-02-27,3838.85,3809.31,3677.17,3818.07,31500.995466,119564023.120042,3887.9785714285717,3767.3595,3665.9784999999997,4137.358416666667,
2019-02-28,3888.0,3818.04,3763.87,3813.69,32561.961044,124703738.393368,3870.3185714285714,3775.0919999999996,3666.174833333333,4116.03975,
2019-03-01,3857.0,3814.26,3813.01,3823.0,23174.57217,88851336.5211179,3850.4614285714283,3782.983,3668.1765,4094.4814166666665,
2019-03-02,3841.31,3822.17,3772.25,3819.93,19445.838355,74175357.778823,3807.914285714286,3789.9764999999998,3668.5563333333334,4072.6976666666665,
2019-03-03,3835.0,3819.97,3781.32,3807.75,16718.16541,63791898.991597,3817.0842857142857,3798.8115,3667.7095,4051.2031666666667,
2019-03-04,3830.0,3807.32,3670.69,3715.3,34742.84166,129739738.238158,3800.9957142857143,3803.0035,3666.8514999999998,4028.1152500000003,
2019-03-05,3877.1,3716.1,3703.55,3857.73,32962.536162,124945530.762145,3807.9242857142854,3815.4199999999996,3667.9468333333334,4006.35475,
2019-03-06,3907.0,3857.58,3813.09,3861.84,24775.11883,95417637.5889866,3814.1771428571424,3828.9840000000004,3669.4615,3984.210833333333,
2019-03-07,3905.4,3861.84,3840.4,3873.64,26455.257661,102585458.383339,3822.7414285714285,3842.5425000000005,3667.562166666666,3961.6706666666664,
2019-03-08,3932.0,3873.63,3800.0,3864.89,34730.366592,135000852.010359,3828.7257142857147,3854.8665,3665.7195,3939.879416666667,
2019-03-09,3971.75,3864.88,3854.75,3943.04,30979.747653,121353606.968034,3846.312857142857,3868.6394999999998,3665.5180000000005,3919.2381666666665,
2019-03-10,3943.43,3943.43,3881.69,3916.82,23187.561412,90693949.7215073,3861.8942857142856,3869.5505000000003,3664.6875,3898.2695833333332,
2019-03-11,3936.98,3915.99,3830.0,3871.61,38066.885705,147721971.094469,3884.2242857142855,3867.7415,3669.449666666667,3876.784583333333,
